feature,importance,ks_stat,ks_pval,significant,gain_rank
n_cat_6,1764.0930516719818,0.0029855149926590885,0.40632937963669724,False,44.0
cus_cat_7_last_1_days,1754.595060825348,0.0031041295258043,0.5494528493255191,False,45.0
cus_cat_6_last_1_2_days,1721.8401885032654,0.002080603684453952,0.9709840647626954,False,46.0
rto_format_2,1720.7313694953918,0.004684665666683352,0.6816259328312148,False,47.0
n_trn,1662.6817982196808,0.0025207538348180902,0.6242261980800333,False,48.0
cus_cat_6_last_2_days,1657.6162893772125,0.002707532568666793,0.8146626949087946,False,49.0
cus_cat_days_6_diff_max,1646.4250428676605,0.0028116289374489067,0.7771416577089526,False,50.0
cus_cat_6_max_min_days_diff,1645.8765678405762,0.0024525040644500784,0.8086176755582684,False,51.0
cus_cat_days_7_diff_mean,1640.169587612152,0.005539200830179225,0.08069414778280337,False,52.0
cus_cat_7_last_2_days,1620.7120971679688,0.0028454663566843397,0.7902083062307522,False,53.0
cus_cat_days_7_diff_std,1581.4201498031616,0.004184368175045972,0.44043541289677957,False,54.0
cus_cat_days_6_diff_std,1572.197472333908,0.0027301979257812747,0.8850711031521435,False,55.0
cus_cat_5_n_days_big_period,1542.8788003921509,0.002670879358789846,0.586125793869114,False,56.0
n_days_last_visit,1523.8405365943909,0.0031038912806291563,0.35846745953910975,False,57.0
cus_cat_days_5_diff_min,1500.7183723449707,0.0033246974616003566,0.3441513010807157,False,58.0
cus_cat_6_last_3_days,1475.9823585748672,0.003930206904102396,0.48071272720010716,False,59.0
cus_cat_7_last_1_2_days,1471.0474977493286,0.0033842088591146124,0.5864402678834713,False,60.0
n_sites,1461.8400555849075,0.0028339839811086787,0.47280765701824456,False,61.0
cus_cat_7_last_3_days,1387.1108794212341,0.0034930659379288076,0.6717193805127784,False,62.0
cus_cat_days_6_diff_min,1384.7709766626358,0.005989327036406977,0.03878344549721868,False,63.0
cus_cat_days_7_diff_min,1375.2024540901184,0.004977212245632856,0.1496533169969947,False,64.0
cat7_share,1318.1182007789612,0.0070799720674279976,0.058432442750673275,False,65.0
cus_cat_days_7_diff_max,1306.5598797798157,0.003589994197110258,0.5098225850090727,False,66.0
n_cat_5,1305.2985076904297,0.0016442622944019547,0.9696673641286815,False,67.0
cus_cat_days_6_diff_mean,1296.533676624298,0.005203558879758097,0.10191402200787625,False,68.0
cus_cat_6_atv,1220.9619170427322,0.006211225301684609,0.11079562594714154,False,69.0
cus_cat_6_rto,1198.2226548194885,0.003925462904005861,0.6096493849539051,False,70.0
cat6_share,1186.208711028099,0.005492888840379934,0.20784350072817903,False,71.0
cus_cat_7_atv,1172.5946593284607,0.00643748008767564,0.10771473639158358,False,72.0
cus_cat_6_std,1171.9947496652603,0.005241631166440386,0.6444774378743294,False,73.0
cus_cat_7_rto,1005.7461807727814,0.004625829689455241,0.4373704961616087,False,74.0
p_75_days_btw_trn,959.0416598320007,0.0016200656969059812,0.9743483481630876,False,75.0
cus_cat_5_n_sku,859.35935151577,0.0018903398008184302,0.9707285566164779,False,76.0
cus_cat_7_std,824.0471396446228,0.005654476355222482,0.6169234106724402,False,77.0
cus_mark_n_rule,823.498551607132,0.004176551937238315,0.0942456885482964,False,78.0
cus_cat_6_n_days_big_period,765.5270020961761,0.0031921154161620446,0.49353069461411514,False,79.0
p_50_days_btw_trn,743.0586301088333,0.0014956835932381646,0.9889177263145846,False,80.0
communication_type,686.6057529449463,9.400919064317392e-07,1.0,False,81.0
cus_cat_7_n_days_big_period,626.2182927131653,0.0028505391043395223,0.6580109758129202,False,82.0
p_25_days_btw_trn,533.9164152145386,0.002017673955168997,0.8642075391878405,False,83.0
cus_cat_5_n_days,473.46714973449707,0.0017705141405990332,0.9848178405248881,False,84.0
cus_mark_fav_cat_accept_flg_1_month_ago,421.83160161972046,0.0,1.0,False,85.0
n_plastic_card,417.5591173171997,0.00032844234722095855,0.0,True,86.0
min_days_btw_trn,388.29529762268066,0.0015058713493066866,0.988028976288965,False,87.0
cus_cat_6_n_sku,341.54640793800354,0.003011105515315693,0.8850927763745693,False,88.0
n_formats,304.9899308681488,0.0020152025331743872,0.8628652171820224,False,89.0
cus_mark_fav_cat_accept_flg_2_month_ago,297.77195024490356,0.0,1.0,False,90.0
cus_cat_6_n_days,261.3814597129822,0.003727426789578714,0.6737554908315573,False,91.0
n_regions,244.1666488647461,0.0008699284621408454,0.9999998889422198,False,92.0
gendercalc,220.30850768089294,0.002526450495075161,0.6412895331586459,False,93.0
cus_cat_7_n_days,135.87954020500183,0.003124461061800421,0.8807088175410457,False,94.0
cus_cat_7_n_sku,134.69529104232788,0.0020244398186379797,0.9986708022385836,False,95.0
n_virtual_card,73.51661968231201,0.00023934656666235732,1.0,False,96.0
